Company Code,Vendor Number,Vendor Name,Document Number,Document Type,Document Date,Posting Date,Baseline Date,Net Due Date,Days Overdue,Amount (Doc Curr),Currency,Amount (Local Curr),Payment Terms,Payment Method,Assignment (PO #),Reference (Invoice #),Open Item,Text
AAP1001,300001,Khumalo Mining Services,44001001,KR,2026-01-10,2026-01-10,2026-01-10,2026-03-11,-27,875000,ZAR,875000,0003 (60 days),T (EFT),PO-8001,INV-KMS-301,Yes,Underground ventilation system installation
AAP1001,300001,Khumalo Mining Services,44001002,KR,2026-01-18,2026-01-18,2026-01-18,2026-03-19,-35,342500,ZAR,342500,0003 (60 days),T (EFT),PO-8002,INV-KMS-302,Yes,Shaft reinforcement support structures
AAP1001,300002,Ngwenya Plant Hire,44002001,KR,2026-01-05,2026-01-05,2026-01-05,2026-02-19,-7,1250000,ZAR,1250000,0002 (45 days),T (EFT),PO-8010,INV-NPH-110,Yes,CAT 390F excavator monthly hire - January
AAP1001,300002,Ngwenya Plant Hire,44002002,KR,2026-01-22,2026-01-22,2026-01-22,2026-03-08,-24,680000,ZAR,680000,0002 (45 days),T (EFT),PO-8011,INV-NPH-111,Yes,Mobile crane rental - shaft deepening project
AAP1001,300003,Dithabeng Earthworks,44003001,KR,2026-01-08,2026-01-08,2026-01-08,2026-03-09,-25,2150000,ZAR,2150000,0003 (60 days),T (EFT),PO-8020,INV-DE-450,Yes,Tailings dam rehabilitation phase 2
AAP1001,300003,Dithabeng Earthworks,44003002,KR,2026-01-28,2026-01-28,2026-01-28,2026-03-29,-45,965000,ZAR,965000,0003 (60 days),T (EFT),PO-8021,INV-DE-451,Yes,Access road construction - north pit
AAP1001,300004,Mohlala Construction,44004001,KR,2026-01-12,2026-01-12,2026-01-12,2026-02-11,1,1580000,ZAR,1580000,0001 (30 days),T (EFT),PO-8030,INV-MC-220,Yes,Change house construction - new shaft
AAP1001,300004,Mohlala Construction,44004002,KR,2026-01-25,2026-01-25,2026-01-25,2026-02-24,-12,430000,ZAR,430000,0001 (30 days),T (EFT),PO-8031,INV-MC-221,Yes,Perimeter fencing and security gate installation
AAP1001,300005,Bohlale Technical Services,44005001,KR,2026-01-15,2026-01-15,2026-01-15,2026-03-01,-17,295000,ZAR,295000,0002 (45 days),T (EFT),PO-8040,INV-BTS-088,Yes,PLC programming and SCADA integration
AAP1001,300005,Bohlale Technical Services,44005002,KR,2026-02-01,2026-02-01,2026-02-01,2026-03-18,-34,518000,ZAR,518000,0002 (45 days),T (EFT),PO-8041,INV-BTS-089,Yes,Conveyor belt monitoring system upgrade
AAP1001,300006,Tau Logistics & Transport,44006001,KR,2026-01-06,2026-01-06,2026-01-06,2026-03-07,-23,760000,ZAR,760000,0003 (60 days),T (EFT),PO-8050,INV-TLT-550,Yes,Ore haulage - January contract
AAP1001,300006,Tau Logistics & Transport,44006002,KR,2026-02-03,2026-02-03,2026-02-03,2026-04-04,-51,820000,ZAR,820000,0003 (60 days),T (EFT),PO-8051,INV-TLT-551,Yes,Ore haulage - February contract
AAP1001,300007,Phala Safety Equipment,44007001,KR,2026-01-20,2026-01-20,2026-01-20,2026-02-19,-7,185000,ZAR,185000,0001 (30 days),T (EFT),PO-8060,INV-PSE-075,Yes,PPE supplies - Q1 bulk order
AAP1001,300007,Phala Safety Equipment,44007002,KR,2026-02-05,2026-02-05,2026-02-05,2026-03-07,-23,92500,ZAR,92500,0001 (30 days),T (EFT),PO-8061,INV-PSE-076,Yes,Self-rescuer units and gas detectors
AAP1001,300008,Motswako Drilling Services,44008001,KR,2026-01-03,2026-01-03,2026-01-03,2026-03-04,-20,3200000,ZAR,3200000,0003 (60 days),T (EFT),PO-8070,INV-MDS-190,Yes,Diamond core drilling - exploration block C
AAP1001,300008,Motswako Drilling Services,44008002,KR,2026-02-07,2026-02-07,2026-02-07,2026-04-08,-55,1450000,ZAR,1450000,0003 (60 days),T (EFT),PO-8071,INV-MDS-191,Yes,Reverse circulation drilling - grade control
